,0
80,"['alternative rock', 'anti-folk', 'art pop', 'bay area indie', 'dream pop', 'escape room', 'experimental', 'experimental pop', 'experimental rock', 'grave wave', 'noise pop']"
81,"['alternative rock', 'anti-folk', 'art pop', 'bay area indie', 'dream pop', 'escape room', 'experimental', 'experimental pop', 'experimental rock', 'grave wave', 'noise pop']"
82,"['alternative rock', 'anti-folk', 'art pop', 'bay area indie', 'dream pop', 'escape room', 'experimental', 'experimental pop', 'experimental rock', 'grave wave', 'noise pop']"
83,"['alternative rock', 'anti-folk', 'art pop', 'bay area indie', 'dream pop', 'escape room', 'experimental', 'experimental pop', 'experimental rock', 'grave wave', 'noise pop']"
84,"['alternative rock', 'anti-folk', 'art pop', 'bay area indie', 'dream pop', 'escape room', 'experimental', 'experimental pop', 'experimental rock', 'grave wave', 'noise pop']"
85,"['alternative rock', 'anti-folk', 'art pop', 'bay area indie', 'dream pop', 'escape room', 'experimental', 'experimental pop', 'experimental rock', 'grave wave', 'noise pop']"
86,"['alternative rock', 'anti-folk', 'art pop', 'bay area indie', 'dream pop', 'escape room', 'experimental', 'experimental pop', 'experimental rock', 'grave wave', 'noise pop']"
87,"['alternative rock', 'anti-folk', 'art pop', 'bay area indie', 'dream pop', 'escape room', 'experimental', 'experimental pop', 'experimental rock', 'grave wave', 'noise pop']"
88,"['alternative rock', 'anti-folk', 'art pop', 'bay area indie', 'dream pop', 'escape room', 'experimental', 'experimental pop', 'experimental rock', 'grave wave', 'noise pop']"
89,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']"
90,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']"
91,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']"
92,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']"
93,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']"
94,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']"
95,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']"
96,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']"
97,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']"
98,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']"
99,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']"
100,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']"
101,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']"
102,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']"
103,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
104,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
105,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
106,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
107,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
108,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
109,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
110,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
111,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
112,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
113,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
114,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
115,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
116,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']"
117,"['black metal', 'finnish metal', 'folk black metal', 'folk metal', 'greek metal', 'metal', 'nordic folk metal', 'pagan black metal', 'viking metal']"
118,"['black metal', 'finnish metal', 'folk black metal', 'folk metal', 'greek metal', 'metal', 'nordic folk metal', 'pagan black metal', 'viking metal']"
119,"['black metal', 'finnish metal', 'folk black metal', 'folk metal', 'greek metal', 'metal', 'nordic folk metal', 'pagan black metal', 'viking metal']"
120,"['black metal', 'finnish metal', 'folk black metal', 'folk metal', 'greek metal', 'metal', 'nordic folk metal', 'pagan black metal', 'viking metal']"
121,"['black metal', 'finnish metal', 'folk black metal', 'folk metal', 'greek metal', 'metal', 'nordic folk metal', 'pagan black metal', 'viking metal']"
122,"['black metal', 'finnish metal', 'folk black metal', 'folk metal', 'greek metal', 'metal', 'nordic folk metal', 'pagan black metal', 'viking metal']"
123,"['black metal', 'finnish metal', 'folk black metal', 'folk metal', 'greek metal', 'metal', 'nordic folk metal', 'pagan black metal', 'viking metal']"
124,"['black metal', 'finnish metal', 'folk black metal', 'folk metal', 'greek metal', 'metal', 'nordic folk metal', 'pagan black metal', 'viking metal']"
125,"['black metal', 'finnish metal', 'folk black metal', 'folk metal', 'greek metal', 'metal', 'nordic folk metal', 'pagan black metal', 'viking metal']"
126,"['alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'jazz boom bap', 'jazz rap', 'turntablism']"
127,"['alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'jazz boom bap', 'jazz rap', 'turntablism']"
128,"['alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'jazz boom bap', 'jazz rap', 'turntablism']"
129,"['alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'jazz boom bap', 'jazz rap', 'turntablism']"
130,"['alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'jazz boom bap', 'jazz rap', 'turntablism']"
131,"['alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'jazz boom bap', 'jazz rap', 'turntablism']"
132,"['alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'jazz boom bap', 'jazz rap', 'turntablism']"
133,"['alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'jazz boom bap', 'jazz rap', 'turntablism']"
134,"['alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'jazz boom bap', 'jazz rap', 'turntablism']"
135,"['alternative hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'jazz boom bap', 'jazz rap', 'turntablism']"
