~danceability~energy~key~loudness~mode~speechiness~acousticness~instrumentalness~liveness~valence~tempo~type~id~uri~track_href~analysis_url~duration_ms~time_signature~album~date~genres~rym rating~ratings~reviews~name~popularity
18~0.537~0.223~7~-24.337~1~0.0513~0.99~0.89~0.137~0.961~97.19~track~3DRZuYDArzcoTniRTkaax4~spotify:track:3DRZuYDArzcoTniRTkaax4~https://api.spotify.com/v1/tracks/3DRZuYDArzcoTniRTkaax4~https://api.spotify.com/v1/audio-analysis/3DRZuYDArzcoTniRTkaax4~59373~4~Variations Goldberg BWV 988~2003~Baroque Music~3.9~401.0~1.0~Goldberg Variations, BWV 988: Variation 9 a 1 Clav. Canone alla Terza~41
19~0.275~0.329~7~-15.509~1~0.0374~0.973~0.881~0.166~0.874~186.273~track~7Aw2j9reBy7YeXiqBHvjhE~spotify:track:7Aw2j9reBy7YeXiqBHvjhE~https://api.spotify.com/v1/tracks/7Aw2j9reBy7YeXiqBHvjhE~https://api.spotify.com/v1/audio-analysis/7Aw2j9reBy7YeXiqBHvjhE~64293~4~Variations Goldberg BWV 988~2003~Baroque Music~3.9~401.0~1.0~Goldberg Variations, BWV 988: Variation 10 a 1 Clav. Fughetta~41
20~0.371~0.291~7~-23.512~1~0.0499~0.991~0.853~0.119~0.973~109.249~track~73NwMH0ND2cUkLe0kn9Ljz~spotify:track:73NwMH0ND2cUkLe0kn9Ljz~https://api.spotify.com/v1/tracks/73NwMH0ND2cUkLe0kn9Ljz~https://api.spotify.com/v1/audio-analysis/73NwMH0ND2cUkLe0kn9Ljz~53453~3~Variations Goldberg BWV 988~2003~Baroque Music~3.9~401.0~1.0~Goldberg Variations, BWV 988: Variation 11 a 2 Clav.~41
21~0.43~0.453~7~-17.023~1~0.047~0.984~0.821~0.197~0.975~90.715~track~7gAYYUV8mC5Vfsp825sqiS~spotify:track:7gAYYUV8mC5Vfsp825sqiS~https://api.spotify.com/v1/tracks/7gAYYUV8mC5Vfsp825sqiS~https://api.spotify.com/v1/audio-analysis/7gAYYUV8mC5Vfsp825sqiS~97973~4~Variations Goldberg BWV 988~2003~Baroque Music~3.9~401.0~1.0~Goldberg Variations, BWV 988: Variation 12 Canone alla Quarta~41
22~0.319~0.0729~7~-28.205~1~0.0558~0.992~0.903~0.122~0.558~77.792~track~2CI5exhYgmUhVMR8Mrunk4~spotify:track:2CI5exhYgmUhVMR8Mrunk4~https://api.spotify.com/v1/tracks/2CI5exhYgmUhVMR8Mrunk4~https://api.spotify.com/v1/audio-analysis/2CI5exhYgmUhVMR8Mrunk4~158160~4~Variations Goldberg BWV 988~2003~Baroque Music~3.9~401.0~1.0~Goldberg Variations, BWV 988: Variation 13 a 2 Clav.~40
23~0.43~0.29~7~-17.084~1~0.04~0.988~0.881~0.213~0.964~94.367~track~4PqCIpr1uWNxakSW79FDaZ~spotify:track:4PqCIpr1uWNxakSW79FDaZ~https://api.spotify.com/v1/tracks/4PqCIpr1uWNxakSW79FDaZ~https://api.spotify.com/v1/audio-analysis/4PqCIpr1uWNxakSW79FDaZ~64706~4~Variations Goldberg BWV 988~2003~Baroque Music~3.9~401.0~1.0~Goldberg Variations, BWV 988: Variation 14 a 2 Clav.~40
24~0.548~0.0494~7~-28.253~0~0.0847~0.994~0.929~0.0989~0.567~77.488~track~7cKXSyVa3TXEksYArDQRpW~spotify:track:7cKXSyVa3TXEksYArDQRpW~https://api.spotify.com/v1/tracks/7cKXSyVa3TXEksYArDQRpW~https://api.spotify.com/v1/audio-analysis/7cKXSyVa3TXEksYArDQRpW~301426~4~Variations Goldberg BWV 988~2003~Baroque Music~3.9~401.0~1.0~Goldberg Variations, BWV 988: Variation 15 a 1 Clav. Canone alla Quinta. Andante~40
25~0.312~0.321~7~-14.825~1~0.0441~0.964~0.929~0.152~0.649~108.665~track~3Kx6ONEfaAGQ4FnzIlTd0O~spotify:track:3Kx6ONEfaAGQ4FnzIlTd0O~https://api.spotify.com/v1/tracks/3Kx6ONEfaAGQ4FnzIlTd0O~https://api.spotify.com/v1/audio-analysis/3Kx6ONEfaAGQ4FnzIlTd0O~98360~4~Variations Goldberg BWV 988~2003~Baroque Music~3.9~401.0~1.0~Goldberg Variations, BWV 988: Variation 16 a 1 Clav. Overture~39
26~0.414~0.238~7~-24.808~1~0.0449~0.989~0.909~0.151~0.969~108.994~track~3c7s2PsmdNUqGaOd3zHDxb~spotify:track:3c7s2PsmdNUqGaOd3zHDxb~https://api.spotify.com/v1/tracks/3c7s2PsmdNUqGaOd3zHDxb~https://api.spotify.com/v1/audio-analysis/3c7s2PsmdNUqGaOd3zHDxb~54013~4~Variations Goldberg BWV 988~2003~Baroque Music~3.9~401.0~1.0~Goldberg Variations, BWV 988: Variation 17 a 2 Clav.~39
27~0.476~0.218~7~-24.016~1~0.0475~0.988~0.857~0.174~0.936~94.72~track~2kjMTSO59RHUp76E4QnGMW~spotify:track:2kjMTSO59RHUp76E4QnGMW~https://api.spotify.com/v1/tracks/2kjMTSO59RHUp76E4QnGMW~https://api.spotify.com/v1/audio-analysis/2kjMTSO59RHUp76E4QnGMW~63146~4~Variations Goldberg BWV 988~2003~Baroque Music~3.9~401.0~1.0~Goldberg Variations, BWV 988: Variation 18 a 1 Clav. Canone alla Sesta~39
