,Rank,Artist,Album,Date,Genres,RYM Rating,Ratings,Reviews
0,1,John Coltrane,Giant Steps,27 January 1960,Hard Bop,4.11,14738,198
1,2,Charlie Mingus,Blues & Roots,March 1960,Post-Bop,4.04,6610,116
2,3,Miles Davis,Sketches of Spain,18 July 1960,"Third Stream, Modal Jazz",3.88,10191,138
3,4,Berliner Philharmoniker / Ferenc Fricsay,"Sinfonie E-moll ""Aus der neuen Welt"" (Nouveau monde)",June 1960,"Romanticism, Symphony",3.97,187,3
4,5,London Symphony Orchestra / Josef Krips,"Symphony No.9 ""Choral""",1960,"Romanticism, Symphony",4.14,26,1
5,6,Josef Krips and the London Symphony OrchestraLondon Symphony OrchestraJosef Krips,Complete Nine Symphonies,1960,"Classical Period, Symphony",4.03,63,4
6,7,Svjatoslav Richter,Klavierkonzert Nr. 2 in c-Moll; 6 Preludes,1960,Romanticism,3.93,234,2
7,8,London Symphony Orchestra / Antal Doráti,The Firebird (Complete Ballet),1960,"Modern Classical, Orchestral",3.92,249,3
8,9,Philharmonia Orchestra / Igor Markevitch,Rite of Spring,1960,"Modern Classical, Orchestral",3.97,69,2
9,10,Chicago Symphony / Fritz Reiner,Scheherazade,1960,"Romanticism, Tone Poem",3.86,453,9
10,11,Hank Mobley,Soul Station,October 1960,Hard Bop,3.84,2159,34
11,12,Wes Montgomery,The Incredible Jazz Guitar of Wes Montgomery,April 1960,Hard Bop,3.83,2970,37
12,13,Glenn Gould,"Concerto in F major (""Italian""); Partita No. 1 in B-flat major; Partita No. 2 in C minor",6 June 1960,Baroque Music,3.93,NA,NA
13,14,Etta James,At Last!,15 November 1960,"Rhythm & Blues, Soul, Soul Blues",3.82,2453,39
14,15,Chicago Symphony Orchestra / Fritz Reiner,"Music for Strings, Percussion and Celesta; Hungarian Sketches",1960,"Modern Classical, Orchestral",3.87,138,1
15,16,Bill Evans Trio,Portrait in Jazz,February 1960,Cool Jazz,3.80,3123,25
16,17,Orchestre radio-symphonique de Berlin / Chœur de la Cathédrale Ste-Edwige de Berlin / Ferenc Fricsay / Maria Stader / Hertha Toepper / Ernst Haefliger / Ivan SardiDeutsches Symphonie-Orchester BerlinDer Chor der St. Hedwigs-Kathedrale BerlinFerenc FricsayMaria StaderHertha TöpperErnst HaefligerIvan Sardi,"Grande messe en ut mineur, K. 427",1960,"Classical Period, Choral, Christian Liturgical Music",3.87,106,2
17,18,Ornette Coleman,Change of the Century,June 1960,Avant-Garde Jazz,3.80,2360,27
18,19,Bamberger Symphoniker / Ferdinand Leitner / Wilhelm Kempff,Klavierkonzerte A-dur KV 488 und c-moll KV 491,1960,"Classical Period, Concerto",3.90,67,1
19,20,Tina Brooks,True Blue,December 1960,Hard Bop,3.81,1021,21
